City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
5,Tigre,AR,66.22,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
7,Vao,NC,80.89,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
10,Coffs Harbour,AU,74.14,overcast clouds,-30.3,153.1333,Aquajet Motel
11,Antalaha,MG,74.95,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
13,Victoria,HK,65.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
17,Faanui,PF,81.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
18,Harper,LR,78.76,overcast clouds,4.375,-7.7169,Screensaver
22,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
25,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Ambilobe,MG,72.45,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
28,Miranda,CO,68.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
33,Atuona,PF,78.8,few clouds,-9.8,-139.0333,Villa Enata
35,Ormara,PK,70.47,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
37,Savannah Bight,HN,78.87,clear sky,16.45,-85.85,Villa on Dunbar Rock
41,Mar Del Plata,AR,65.08,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
45,San Rafael Del Sur,NI,77.97,clear sky,11.8485,-86.4384,Hospedaje El Chino
48,Pampierstad,ZA,65.55,clear sky,-27.7832,24.6877,BAROLONG METHODIST CHURCH
49,Bako,ET,66.76,few clouds,5.7833,36.5667,Goh Hotel
55,Bumba,CD,67.39,overcast clouds,2.1833,22.4667,Père Carlos
57,Carmelo,UY,66.16,clear sky,-33.9892,-58.2856,Los Muelles Boutique Hotel
61,Hilo,US,74.93,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
66,Cockburn Town,TC,76.01,clear sky,21.4612,-71.1419,Osprey Beach Hotel
67,Bengkulu,ID,81.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
72,Hobart,AU,78.22,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
79,Saguing,PH,81.79,broken clouds,6.9803,125.0781,Dreamer's Wish Lodge
83,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
85,Monte Alegre De Minas,BR,70.45,light rain,-18.8706,-48.8808,Hotel Via Hotel
86,Santiago,CL,75.29,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
89,Berbera,SO,76.15,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
92,Cabo San Lucas,MX,65.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
93,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
94,Sibolga,ID,84.6,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
95,Bubaque,GW,76.44,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
100,Atar,MR,69.08,clear sky,20.5169,-13.0499,Oumou Elghoura
101,Santa Cruz Del Norte,CU,71.73,scattered clouds,23.1539,-81.9236,Rioger Art
106,Praya,CV,68.54,clear sky,14.9215,-23.5087,LT Aparthotel
108,Coihaique,CL,68.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
118,Cidreira,BR,68.22,clear sky,-30.1811,-50.2056,Hotel Castelo
120,El Centro,US,68.34,clear sky,32.792,-115.563,"Holiday Inn Express & Suites El Centro, an IHG Hotel"
122,Porac,PH,80.01,overcast clouds,15.1,120.5,Poracay Resort
124,Cowra,AU,75.61,clear sky,-33.8333,148.6833,Cowra Motor Inn
132,Ilebo,CD,69.87,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
137,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
139,Emerald,AU,84.34,clear sky,-23.5333,148.1667,The Irish Village
140,Cotonou,BJ,78.26,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
141,Morondava,MG,80.4,moderate rain,-20.2833,44.2833,La Case Bambou
144,Beberibe,BR,78.84,clear sky,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
146,East London,ZA,71.38,overcast clouds,-33.0153,27.9116,Tu Casa
147,Qui Nhon,VN,76.62,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
148,Huarmey,PE,71.37,overcast clouds,-10.0681,-78.1522,Hotel Miramar
152,Sungaipenuh,ID,73.69,moderate rain,-2.0833,101.3833,penginapan citra alam
155,Ruteng,ID,74.55,few clouds,-8.6136,120.4721,Hotel FX 72
157,Neiafu,TO,75.88,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
163,Bredasdorp,ZA,65.28,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
171,Mineros,BO,76.59,overcast clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
173,Bontang,ID,83.84,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
178,Antofagasta,CL,65.48,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
179,San Carlos De Bariloche,AR,65.25,clear sky,-41.1456,-71.3082,Hotel Patagonia
181,Praia,CV,68.54,clear sky,14.9215,-23.5087,LT Aparthotel
184,Umm Lajj,SA,65.23,clear sky,25.0213,37.2685,Moon light Furnished Units
188,Pemangkat,ID,79.65,overcast clouds,1.1667,108.9667,Ramah Kost KITA
194,Acarau,BR,78.48,clear sky,-2.8856,-40.12,castelo pizzaria
204,Mumford,GH,79.09,overcast clouds,5.2618,-0.759,Spanish Villa
205,Labuhan,ID,81.77,overcast clouds,-6.8844,112.2051,DoubleFAG
209,Tual,ID,83.21,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
210,Ewa Beach,US,77.02,clear sky,21.3156,-158.0072,Uncle Junior Robert
211,Sindgi,IN,73.89,broken clouds,16.9167,76.2333,Parashuram Siddapp
215,Soyo,AO,76.12,overcast clouds,-6.1349,12.3689,Hotel Mpampa
218,Pauini,BR,74.73,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
222,Port Lincoln,AU,79.56,clear sky,-34.7333,135.8667,Port Lincoln Hotel
223,Esperance,AU,73.24,few clouds,-33.8667,121.9,Hospitality Esperance
