City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Nyuksenitsa,60.4128,44.2397,-2.25,100,70,4.21,RU,2022-02-07 02:50:40,broken clouds
1,Tilichiki,60.4667,166.1,-4.72,79,1,8.61,RU,2022-02-07 02:50:41,clear sky
2,Vardo,70.3705,31.1107,23.14,82,59,20.94,NO,2022-02-07 02:50:41,broken clouds
3,Nioro,13.35,-15.75,73.8,34,0,2.44,GM,2022-02-07 02:50:42,clear sky
4,Artyshta,54.1222,86.2909,7.54,86,100,3.24,RU,2022-02-07 02:50:42,overcast clouds
5,Tigre,-34.426,-58.5796,66.22,76,0,9.22,AR,2022-02-07 02:50:43,clear sky
6,Tazmalt,36.3868,4.3989,46.53,95,20,2.33,DZ,2022-02-07 02:50:43,few clouds
7,Vao,-22.6667,167.4833,80.89,82,42,11.63,NC,2022-02-07 02:43:25,scattered clouds
8,Milevsko,49.4509,14.36,38.05,99,100,18.05,CZ,2022-02-07 02:50:44,overcast clouds
9,Portland,45.5234,-122.6762,50.94,82,20,3.0,US,2022-02-07 02:48:25,few clouds
10,Coffs Harbour,-30.3,153.1333,74.14,82,100,10.36,AU,2022-02-07 02:50:45,overcast clouds
11,Antalaha,-14.9003,50.2788,74.95,84,41,4.25,MG,2022-02-07 02:50:46,scattered clouds
12,Saldanha,-33.0117,17.9442,62.65,99,35,7.87,ZA,2022-02-07 02:43:44,scattered clouds
13,Victoria,22.2855,114.1577,65.97,90,100,11.01,HK,2022-02-07 02:42:36,overcast clouds
14,Dong Xoai,11.5333,106.9167,90.25,43,42,4.23,VN,2022-02-07 02:50:47,scattered clouds
15,Rapid City,44.0805,-103.231,41.54,47,0,5.99,US,2022-02-07 02:49:43,clear sky
16,Laza,46.65,27.5833,42.08,54,100,5.84,RO,2022-02-07 02:50:48,overcast clouds
17,Faanui,-16.4833,-151.75,81.01,75,100,20.13,PF,2022-02-07 02:38:53,light rain
18,Harper,4.375,-7.7169,78.76,83,100,6.06,LR,2022-02-07 02:50:48,overcast clouds
19,Yulara,-25.2406,130.9889,89.44,20,0,9.22,AU,2022-02-07 02:42:00,clear sky
20,Zinder,13.8072,8.9881,58.91,14,0,11.25,NE,2022-02-07 02:50:49,clear sky
21,Luganville,-15.5333,167.1667,85.08,74,100,8.52,VU,2022-02-07 02:50:49,overcast clouds
22,Carnarvon,-24.8667,113.6333,78.87,36,6,21.85,AU,2022-02-07 02:43:47,clear sky
23,Bavly,54.393,53.2602,10.8,97,100,3.29,RU,2022-02-07 02:50:50,overcast clouds
24,Tukrah,32.5341,20.5791,55.51,72,82,9.37,LY,2022-02-07 02:50:51,broken clouds
25,Kapaa,22.0752,-159.319,80.58,72,40,1.01,US,2022-02-07 02:43:48,scattered clouds
26,Ambilobe,-13.2,49.05,72.45,94,27,1.07,MG,2022-02-07 02:50:51,scattered clouds
27,Kodiak,57.79,-152.4072,36.91,48,100,5.75,US,2022-02-07 02:50:52,overcast clouds
28,Miranda,3.2499,-76.2281,68.13,96,100,1.54,CO,2022-02-07 02:45:57,overcast clouds
29,South Lake Tahoe,38.9332,-119.9844,41.65,58,0,0.0,US,2022-02-07 02:50:53,clear sky
30,Stykkisholmur,65.0757,-22.7297,29.37,84,100,38.65,IS,2022-02-07 02:50:53,snow
31,Iqaluit,63.7506,-68.5145,-38.31,65,0,2.3,CA,2022-02-07 02:43:51,clear sky
32,Ponta Delgada,37.7333,-25.6667,60.49,77,75,11.5,PT,2022-02-07 02:46:44,broken clouds
33,Atuona,-9.8,-139.0333,78.8,77,12,17.09,PF,2022-02-07 02:39:00,few clouds
34,Mosquera,4.7059,-74.2302,55.49,88,75,5.75,CO,2022-02-07 02:43:52,broken clouds
35,Ormara,25.2088,64.6357,70.47,83,15,5.79,PK,2022-02-07 02:50:54,few clouds
36,Rabo De Peixe,37.8,-25.5833,59.27,95,75,11.5,PT,2022-02-07 02:43:53,broken clouds
37,Savannah Bight,16.45,-85.85,78.87,63,5,9.31,HN,2022-02-07 02:50:55,clear sky
38,Longyearbyen,78.2186,15.6401,19.24,68,0,5.75,SJ,2022-02-07 02:43:54,clear sky
39,Saint-Francois,46.4154,3.9054,48.67,92,100,16.11,FR,2022-02-07 02:43:55,overcast clouds
40,Chara,56.9064,118.2631,0.77,79,68,1.41,RU,2022-02-07 02:50:56,broken clouds
41,Mar Del Plata,-38.0023,-57.5575,65.08,81,40,5.01,AR,2022-02-07 02:39:10,scattered clouds
42,Shelburne,44.0787,-80.2041,27.05,71,100,15.41,CA,2022-02-07 02:50:57,overcast clouds
43,Brive-La-Gaillarde,45.25,1.5,48.83,71,100,7.67,FR,2022-02-07 02:51:57,overcast clouds
44,Ushuaia,-54.8,-68.3,60.46,67,75,12.66,AR,2022-02-07 02:39:01,broken clouds
45,San Rafael Del Sur,11.8485,-86.4384,77.97,54,0,15.03,NI,2022-02-07 02:51:58,clear sky
46,Prince Rupert,54.3161,-130.3201,44.69,81,100,16.11,CA,2022-02-07 02:51:58,overcast clouds
47,Camacha,33.0833,-16.3333,59.76,67,75,14.97,PT,2022-02-07 02:51:59,broken clouds
48,Pampierstad,-27.7832,24.6877,65.55,69,4,2.91,ZA,2022-02-07 02:51:59,clear sky
49,Bako,5.7833,36.5667,66.76,36,18,3.53,ET,2022-02-07 02:52:00,few clouds
50,Gamba,-2.65,10.0,76.21,93,16,5.19,GA,2022-02-07 02:52:00,few clouds
51,Klaksvik,62.2266,-6.589,32.92,50,100,15.43,FO,2022-02-07 02:44:59,overcast clouds
52,Sioux Lookout,50.1001,-91.917,5.38,84,0,2.3,CA,2022-02-07 02:42:44,clear sky
53,Upernavik,72.7868,-56.1549,-14.49,100,100,8.41,GL,2022-02-07 02:43:23,overcast clouds
54,Moussoro,13.6408,16.4901,61.93,14,0,13.49,TD,2022-02-07 02:52:02,clear sky
55,Bumba,2.1833,22.4667,67.39,37,100,2.42,CD,2022-02-07 02:52:02,overcast clouds
56,Wundanyi,-3.4019,38.364,63.48,83,100,1.88,KE,2022-02-07 02:52:02,overcast clouds
57,Carmelo,-33.9892,-58.2856,66.16,75,0,8.9,UY,2022-02-07 02:52:03,clear sky
58,Morwa,22.9,73.8333,64.9,38,0,1.41,IN,2022-02-07 02:52:04,clear sky
59,Guru Har Sahai,30.7167,74.4167,52.47,71,4,3.67,IN,2022-02-07 02:52:04,clear sky
60,Timizart,36.8,4.2667,45.68,89,6,3.24,DZ,2022-02-07 02:52:05,clear sky
61,Hilo,19.7297,-155.09,74.93,78,100,8.05,US,2022-02-07 02:40:59,light rain
62,Voyvozh,62.892,54.9635,12.2,89,100,8.46,RU,2022-02-07 02:52:05,overcast clouds
63,Thompson,55.7435,-97.8558,-7.44,71,100,5.75,CA,2022-02-07 02:42:04,overcast clouds
64,Bilibino,68.0546,166.4372,-10.97,78,18,4.03,RU,2022-02-07 02:52:06,few clouds
65,Mangrol,21.1167,70.1167,64.15,72,5,7.0,IN,2022-02-07 02:52:07,clear sky
66,Cockburn Town,21.4612,-71.1419,76.01,75,0,16.91,TC,2022-02-07 02:45:03,clear sky
67,Bengkulu,-3.8004,102.2655,81.64,70,99,10.8,ID,2022-02-07 02:40:23,overcast clouds
68,Saint-Augustin,51.226,-58.6502,-24.81,92,18,4.99,CA,2022-02-07 02:52:07,few clouds
69,Cape Town,-33.9258,18.4232,64.27,88,75,1.01,ZA,2022-02-07 02:42:03,broken clouds
70,Songjianghe,42.1859,127.479,15.53,65,87,7.78,CN,2022-02-07 02:52:08,overcast clouds
71,Harriston,43.9001,-80.883,26.4,72,100,9.22,CA,2022-02-07 02:52:09,overcast clouds
72,Hobart,-42.8794,147.3294,78.22,44,20,1.01,AU,2022-02-07 02:40:18,few clouds
73,Jumla,29.2747,82.1838,43.68,38,92,1.03,NP,2022-02-07 02:45:06,overcast clouds
74,Harfleur,49.5066,0.1983,47.35,68,0,19.57,FR,2022-02-07 02:52:10,clear sky
75,Mpanda,-6.3655,31.0409,64.26,97,100,2.51,TZ,2022-02-07 02:52:11,light rain
76,Cherskiy,68.75,161.3,-27.85,100,25,1.28,RU,2022-02-07 02:45:11,scattered clouds
77,Arman,59.7,150.1667,17.02,73,72,6.35,RU,2022-02-07 02:52:11,broken clouds
